COUNTY,AVLN_EALT,CWAV_EALT,DRGT_EALT,HAIL_EALT,ISTM_EALT,LNDS_EALT,LTNG_EALT,RFLD_EALT,SWND_EALT,TRND_EALT,WFIR_EALT,WNTW_EALT
Adams,0,50174.80969,168054.9647,22025043.47,62844.11055,7166.124138,698658.3542,601698.1488,208382.7685,9134779.845,11408.99098,1618.912928
Alamosa,24236.13457,101792.7186,320719.6994,47872.52171,1808.508453,106.9545016,23811.1391,57435.36875,1716.979322,21777.03098,5903.326231,1987.817854
Arapahoe,0,41504.22343,49527.8905,42995128.72,84333.60866,7140.504227,294790.0696,507389.2946,345901.1876,18775712.34,17189.40007,13134.94748
Archuleta,75622.75287,0,25867.21534,1529.848055,1418.242381,105300.4405,92819.34388,40763.56082,9047.441492,22276.31391,686449.6868,7143.614768
Baca,0,47984.86903,748430.3013,55654.66725,10575.78772,2440.961506,19662.19192,25.71248886,109487.536,125572.9609,42099.79531,45782.80857
Bent,0,37629.67679,477498.0687,99816.44416,1037.903051,2022.466028,37611.40826,64942.82238,60149.15,146732.9668,14727.66266,13932.15684
Boulder,250572.9771,440746.1351,28764.36623,618034.259,61132.54928,33775.86391,782380.9548,15596601.47,769526.0488,6678770.608,4004288.153,113956.43
Broomfield,0,161944.0961,513.0868319,2275142.404,23840.28973,4067.131123,246711.7534,111847.708,461003.5683,1742439.616,10633.26464,77538.99501
Chaffee,214145.6127,38606.43006,30148.6205,92019.70658,9143.252713,38483.97517,147703.1299,229992.3529,32610.14425,39824.54647,48178.55414,1014.158781
Cheyenne,0,109196.1317,438068.0673,167178.2334,423.9300362,651.5530466,12062.71232,17676.31728,58696.69657,79242.73487,459.6939495,35640.97409
Clear Creek,323946.9305,24293.40918,218.9087943,414294.0004,4080.407671,123127.3391,137541.7917,49904.75696,200812.0348,174633.1989,973609.0893,53283.34761
Conejos,207859.3129,48336.10991,262702.3307,8665.358292,965.208573,10191.44271,10424.278,5337.264351,3521.873503,13237.01358,10126.03206,2332.04723
Costilla,24236.13457,17037.77816,107697.1473,14992.97698,412.4853392,165759.9364,17615.24435,37507.66187,1857.369396,4950.415604,34798.44001,2151.415342
Crowley,0,51632.93786,802583.4545,173404.3662,1705.036159,573.2201961,31220.35499,26418.55923,61937.06119,79092.1779,16035.23738,26113.21819
Custer,24236.13457,6011.757499,48620.55584,90157.70202,2704.623046,47186.14022,40400.23813,253658.8519,32988.50247,21630.88151,275268.4668,31354.74937
Delta,482778.0001,0,205190.5693,8900.45401,12492.39362,154941.9529,107140.1426,141963.7401,48244.80329,12240.6099,200876.06,1603.456644
Denver,0,433979.4199,0,28565988.55,90937.51224,10872.01315,1013471.015,171074.6234,268155.5511,19406472.78,8782.497493,157030.789
Dolores,75622.75287,0,26528.58583,774.0253769,1062.014687,18605.01849,11213.90252,14241.38939,1906.319175,1738.664017,43267.8107,1520.985024
Douglas,24236.13457,196094.224,34576.75998,518417.7099,60692.05067,32782.00834,570141.7184,2030500.566,906596.4946,8374539.677,2200469.744,94213.26606
Eagle,1163813.169,0.158151513,16983.40985,113551.6042,30266.36434,61221.19771,224273.2073,420496.4321,4382.559614,73454.08367,74877.85785,1800.734527
Elbert,0,52826.09237,90089.62636,86330.42972,11485.80822,29987.72509,194507.8412,109399.1057,233272.8089,734900.1579,422925.2114,58698.28663
El Paso,24236.13457,1342903.873,134869.7965,10210243.83,241973.277,19127.55816,4743868.149,5555637.886,771089.1891,15643238.35,4955197.847,42034.91475
Fremont,24236.13457,37276.89163,88484.66095,282496.0746,17770.32768,193577.902,41914.11988,1139317.211,39901.42456,237300.3151,435668.6811,9109.947827
Garfield,1267917.83,45539.83173,77850.65354,23061.38636,25423.57782,20380.26676,383716.5025,368810.5323,8163.839158,14848.83888,643264.3345,827.7848129
Gilpin,191715.7433,19236.10531,169.0265109,241607.255,2514.732647,51138.29181,60792.95938,35417.75558,146596.8575,135491.242,163317.1931,37213.02157
Grand,673721.0785,35140.06914,9833.96392,454809.1086,15723.45605,514908.3311,86770.32537,3895.417792,141532.2738,166123.7389,46926.12054,2228.85083
Gunnison,1071805.483,15557.30483,81611.94151,7233.75622,9893.78697,157698.6994,123384.3093,496213.1647,10269.43026,16914.84989,48265.60627,2430.661452
Hinsdale,350812.9008,0,0,967.714054,100.7412075,50555.09057,2958.483064,9345.376527,1059.130365,2778.451542,27998.6491,4273.167042
Huerfano,40393.55601,12292.68514,85612.3705,8242.563748,3772.102625,34489.28047,99543.95377,602300.8556,33381.43917,26605.1072,233896.449,20346.12876
Jackson,121875.8741,17738.86497,53747.24389,1875.64311,1337.10123,533072.2689,6823.175997,313.3598923,2329.978025,12605.49597,3367.140977,370.4041481
Jefferson,191715.7433,368435.2519,9809.902284,25840241.66,84238.22664,6739.517034,1154169.377,11202585.71,986483.9527,11168150.25,15172140.5,125627.4946
Kiowa,0,25248.95059,411439.1383,72245.31639,259.3832296,113.9571188,9113.849554,1.749371178,48864.5646,42971.99103,2138.5409,3987.089449
Kit Carson,0,727195.2593,175972.4791,711525.035,5635.035019,2622.90995,27851.50715,0,227898.2924,424368.5629,348.597195,91735.83382
Lake,214145.6127,22067.22701,0,8417.101162,3500.785459,51074.24391,68592.49006,1644.804821,6255.535418,25293.75895,319.2352392,1127.263292
La Plata,90200.49927,0,75868.22893,3471.626552,6013.508237,223165.1878,351478.8705,353642.6017,32991.98593,69348.87003,2378571.411,35312.34775
Larimer,182883.4001,1734017.961,138735.0785,9477395.413,58974.06918,94393.2081,2852709.658,18811844.87,1003851.7,4189610.764,3518048.376,95773.1765
Las Animas,24236.13457,39009.30215,188668.7581,4944.089272,5459.425533,47746.63899,206413.9302,385251.9224,3767.667509,114550.1799,408761.3893,42580.98492
Lincoln,0,56340.63093,29464.95578,207219.8089,3795.98555,1916.239296,28706.83663,56600.52222,101627.4455,150427.0111,4217.770803,9406.625349
Logan,0,538304.5686,224129.818,78235.31954,75040.27163,914.6329826,36768.65999,2176107.298,465736.7004,1336300.973,3635.810956,94480.42089
Mesa,139649.6779,6561.426422,581802.6283,23870.41211,65157.95948,1157.29253,50863.32322,1314135.837,5073.952012,35686.56605,809472.7691,513.3298114
Mineral,207859.3129,836.3106846,254.5633104,1077.500433,84.77988234,60977.20269,1701.57411,42518.97812,753.9483282,2580.226802,19082.43344,616.9006233
Moffat,154289.5597,28956.53964,64714.04844,786.7303783,8702.255982,34207.17129,70001.68305,84729.22828,6508.430585,3276.139855,213695.4941,1553.685817
Montezuma,268231.8522,0,159534.8966,10575.06621,10897.35366,26825.42748,115583.9086,129131.2392,14623.40184,14734.79638,516226.1599,8830.809282
Montrose,628990.819,2946.583531,255701.0303,10922.78103,17840.33903,56719.86063,257553.31,476693.9329,37002.67906,16079.88117,243202.117,535.0734997
Morgan,0,466254.4678,100348.5205,478758.2725,20053.94994,976.6685058,84513.68971,2521565.791,489024.2809,1112256.73,2872.406208,26745.56154
Otero,0,96362.00883,1179318.2,30512.95799,3312.991383,12791.35867,192449.4511,248871.9425,130111.3683,204085.0224,25554.96184,58070.8723
Ouray,267949.1964,0.001862562,11519.11462,1735.047976,3088.518883,352143.8995,20623.31492,159346.6161,2297.268466,6766.944164,171483.0447,5871.818542
Park,191715.7433,17398.92077,12516.12228,282528.4091,15177.09281,187899.0818,248063.0668,37317.46664,121063.0007,186352.2763,1919769.145,13359.68202
Phillips,0,112662.3306,69929.66135,595355.3061,15123.48044,1630.5419,15348.69006,21176.4247,243609.1078,270535.1825,41.72254186,43841.34607
Pitkin,1539219.778,0,7199.596067,11768.03968,12845.16019,429011.8832,131469.3759,96041.14336,4529.621967,17166.26024,111302.8365,3986.631447
Prowers,0,186593.9915,1875466.146,388269.8469,2428.95479,224.9203789,105833.5609,187929.9213,123793.8811,302278.1954,31802.42381,44214.10627
Pueblo,0,338412.133,302278.4028,3569429.108,66269.44086,40343.75631,125475.4081,3178910.276,149352.8826,1323779.609,649383.8731,8872.631558
Rio Blanco,30784.19729,19859.01572,114336.4226,6072.303647,3600.729889,50742.7653,52229.43477,179509.4815,6473.842624,3115.099908,342428.9547,1773.616062
Rio Grande,207859.3129,116129.1687,444846.166,15330.27637,1403.792298,25221.40031,10175.70412,282530.5157,4529.825106,22174.4349,17219.6318,2602.774557
Routt,192861.9508,4726.592638,68627.41222,2281.956273,19754.183,25986.2604,153427.9076,246514.628,18243.3123,14249.7781,303868.9535,1425.274579
Saguache,301962.8318,86851.08918,379594.1807,25067.96524,2618.482705,4671.992043,20237.85687,5080.095336,3084.591856,10261.28705,16754.74841,2107.800722
San Juan,305448.7288,0,0,373.3219935,527.336172,2027021.034,2039.995609,2429.092357,546.1277424,1343.058547,24379.18977,2276.281046
San Miguel,825587.462,0,19911.39861,3274.460477,5843.120409,2500447.372,30095.20311,272574.8315,2070.531069,4512.710171,199922.4003,14853.90416
Sedgwick,0,48476.52483,47337.369,305764.3881,8368.464916,1008.935058,8577.65849,12104.78887,154710.9122,131190.0441,1565.677041,33575.59376
Summit,476870.3779,114826.3529,2610.169859,764117.8556,27716.2673,581751.518,200582.5019,87015.43318,84217.87001,268261.3441,8006.138452,11592.50834
Teller,24236.13457,16592.53484,5009.357827,724333.7044,12714.19243,51373.84217,560875.4047,167281.5841,76702.70651,368667.3129,2327974.845,61623.39145
Washington,0,121202.4453,51024.69251,114734.0928,13792.05171,5007.233857,14700.12011,322982.8322,102244.0127,184099.3597,362.9275699,10725.21706
Weld,0,1958081.161,320732.4112,1025615.137,49893.37426,2422.136466,330366.176,9692090.828,341155.441,8532727.757,63417.16838,94729.58216
Yuma,0,1398898.238,341579.0604,1609238.997,33171.09007,23067.23601,31357.31289,65126.7903,459460.6981,678396.3268,2905.789267,79532.39625
